Business_ID,Cuisine
XjeGryxde-tQZF_Ewu7NCw,korean
ykXZyQBXxoOMoZfaZMnHmg,american
uaFHoq-a5XqxF-bsOK9_Qg,chinese
IGBaeCme2FrJhzrFFGOfnA,seafood
IhSVn0TaX8xXb3wcQ-fgcA,chinese
C29qVHuUDyFoQQPaFOpGfQ,dessert
aSprnLY-6GkMk1cuv0TMeA,italian
x9wa2M7gvf32swUSBP3uXA,mexican
5fRh0bh2HDGYb7Lsms36vQ,chinese
ypqK8DWM8Bcs43YveSJnNw,american
z4xmmDCHDKPrwKCcoZw1-w,seafood
FZQ-l92qE1NqpI5lbmAM_g,indian
cJfbydHniqWsGL2VHVDHEg,indian
4mzogOLOVDPBDVTO4cz9fA,thai
qu3niqEXOUdNxCCXnSPBYg,chinese
OqBwxwjya3li4XiP6ylUaA,american
B_kcyXzmkJlFI9pSl7PHvw,japanese
FXhSEZfIqjMZh4hR0_8jMQ,vietnamese
StFf9fVnAlhwrUWan0C4Ww,thai
uVfOB37NyYEGRs5FITM-nQ,mexican
WbZhH2j8i3GhNsOsviM1VQ,korean
3SDTpWrebNOPAk1bMbxq5Q,dessert
bMhqh_k_QZJMnVstIJzxRw,vietnamese
VC1udoc_sbHdFaBr0-bMsA,indian
xlv_CcDXH1hkG4Wq5mECkQ,mexican
lIQif4P5GUcNNZQ7Kmaxcg,dessert
Ry9w-jFALWYhazi6jjyIKw,italian
yKPRuBvD3ScCc18QrZ4Y6w,mexican
pqebqpVTT8bR_s9iEu8dOA,japanese
HDoJIH-qW9FqJ5WB-bKTqA,chinese
y711WFkVb70bTD0aO0xG5Q,pizza
1fVp9c5Vw04ig171a_juRw,chinese
7CGYnxoisiRjwH1faVzxwA,pizza
61k4DyUWICuClM0qGls0hA,american
l1JScxc5eWUYFmFl6sODgg,chinese
MSVftNJ5lwPK9TQtHayaPQ,japanese
ngrgNE6xT54amiZvxGttWw,healthy
xbrQ2dHuQoFJmNxAuOky4A,pizza
z4CzSOnngC2RaTEC_BgUWA,italian
PqqnNrUtU7XTKQvUM4cyqQ,healthy
h0P_Gm_osKpl9EYhtEGY5g,dessert
FkA9aoMhWO4XKFMTuTnl4Q,mexican
csVEpHy5KJoFvM1qp5XwLQ,brunch
YKfj-CUjgb9xQ1kN_bhNLg,american
3Gz07E5YJjDTJPSuzsAStQ,seafood
MXstrG3HjF83LcxAd8OpTw,chinese
X8Tg6XHKERw-vdWRU4oH3Q,mexican
6ztuhNteBxQB334A98iP8g,seafood
SBy46BviyBKowPjbTjDsHQ,thai
Q9F2ocrmYuGt1yn3M7MOBw,italian
NebgteFykeM1gwiVgPcCHw,thai
MJwyoXJrN7UmqWcWQ5rG1w,chinese
TsKgADLajLy7KCqkBGYe-g,healthy
xFp3xSQ43J-i7nmJfNBsZA,korean
nFszVPUX4tj-oarjfBO0nw,thai
PupuaqKJrZLtgM36e9fdiA,healthy
kCk2uqmmJBQ80iLuncNhlQ,japanese
noBCTbD1Ylf5QR7PXy-rkA,indian
3GP-tY5GWuOsiYRsycm7Lg,brunch
TCJrcryBkI6eg2HYThoiKg,seafood
KISxxrvjxx5qrayhcASl5w,thai
ehJBqB3YknAZOrupJNqB8g,dessert
XaEFFUabnbH8ZF7ccmSAlQ,chinese
07CFPHGST8k37uHYAGxYqQ,pizza
MNAopIry2_9y3cEimy5cqg,japanese
LJ0y9Kkfpo8RCVYSQIseIw,dessert
b8k_PXdudXPAJ4kEHA5WAw,dessert
IFZ3_d01uflGixWrrD8_gg,indian
P-Pn5p3_81kk9IN8_xCtuA,dessert
NdCM7xuYyS7RG7hXcEGyRQ,healthy
DpZ7Xaub8Lhpg7VJdHaPpg,japanese
enDIsmxSG2bQccQWgGNcbg,vietnamese
10tnq8x2qI7ix7VqVP0rMw,mexican
kuKSvCZDFrgOrY-dcrOefg,brunch
Ab-oC8Wm_R73gWQYOUW_xA,korean
MdutW7BuBGmVUPdagNfHvA,mexican
KEEXuHCYhsQJ-zpJhu98bA,pizza
zceiZzaEagVuXgD9djDKBg,healthy
dVYCjeYgPZr6fI_wwKPYbg,dessert
dH7jsvPhb6xhQkIu8Pv5jw,vietnamese
1xJV03v3g3oP3G5oDlWuoQ,vietnamese
bgMbt6XbOaAu5VNXr5kCdQ,indian
fyC2cBsQ0FsMJmv0jSworg,italian
3yxcngyQT7gZ_5fvIOm2Ng,dessert
jNPYmziqQjIMP-1pOgSZdw,dessert
vZevXSC1w27dEvXc2EHCEg,brunch
YCBjn0t4bMaQb8Bk7l37ng,vietnamese
dpCSDy9uefOEcY44FHss2Q,korean
IiLLntICUim7YREkIBU7lA,brunch
LJaLQby_H8E9eHvcIW0xnw,american
8JDwcklaawqYprHg0c9aIA,american
R1eZIyH8dOECfqUGGcANdQ,chinese
HnFHxQUSviXVa1FUGR-Hjw,american
sjOp9UbbfKbohpEjQt2JRg,chinese
FXDMFBM-rV2s5MHzA33d2g,indian
c1kKAH9XMPNeaBhvnIP0FQ,american
uPW_isMEB92IDrX04pLK1g,indian
loLFoBWWXfpFu9fOdWebHQ,chinese
AOZlppihRNG8Y2N4Jid30A,pizza
0oRYwB_SLqjHptvUQwwe2w,mexican
OrhRTDA0dj81XVhOibXsUQ,thai
NkZ60oYeFozFLpgQj2P8FA,dessert
tK_4ECZ0EPIhW8588hfn5g,mexican
PMp7WlHIXQUnej-Ds1jRfw,american
01m-oqxaCifh0s0eU03bBg,chinese
6ujYWjs1FTksvuVxuzjUYA,brunch
r-EDS_eO70HUgDmOk5_8Qw,american
l7E6lpov_VPbhrxjWT-76Q,brunch
YsApw7WRybSGLowqLIHHKA,dessert
XKDHsS8PevoEdFLNtt05FA,japanese
YuzOnNDfRKixNJiaVy5Baw,pizza
cI079LsWlkbjrVbRy27w_g,healthy
SNNDz7nTCL1lf9yEY5DaBA,mexican
RpkJ8pj-Xt66plOCE7kFKA,american
WzCQTxXQ6Ow4Vgo6Rd9sLw,dessert
TN1dGAwvNevkzXfL0sU41A,brunch
z4ac0Zdj7wyXqBQRRbQKOQ,chinese
CYYLEipRFmr73Hz6XNEzoQ,pizza
hcI6TVxFyVNEPXg3rF1bQw,mexican
anayUOcPkiAvijszwOf_Rw,healthy
aI39yRQqpTd1VuKqS-lwig,brunch
b_3yI7FXcIle71lD9Tulww,mexican
OE9bjWdWyo530-Nj3dIILw,vietnamese
mZdxvKqo8-hP86lus1pVHQ,korean
8CTaeOtqr461Ah5yWcnCPw,mexican
d8USIZvTTqee35l34anRBg,pizza
iYFauSnqLxvr4HTY_cIElg,vietnamese
Lg1iK6f32TzWdGFT3qxyOQ,american
FyFeyjndrXHDnN-z9-qv_w,dessert
52kgzsOIYvXo2NPAZ369qg,brunch
TiXKrXF68JOUIj8P0Ba96w,pizza
hlysl46pqJgpi6UjrwEdkQ,chinese
KaBw8UEm8uZTV6YLsshYrQ,korean
UBnrFZuqa1nMrV7ncWHBwA,thai
Re7S8onAwdMU8q2dDept3w,brunch
rqqKcelHOQvZ_WuJkJd8zA,seafood
agCuWjaUJ8xBO_PDDQRiGw,chinese
1L0pkxU2QqOkOg2drzqtPA,brunch
mYQMjrtHp8vsEKKNsRz1XA,pizza
2DGTVgGGme6CoXFCgooqVw,indian
HKBJGt04_ZSdiIWA_6J8kQ,mexican
KyOtOluTH8c8SICpf85thg,mexican
utM-5navObsVA5sCRHobzA,american
vDkAtrkji4YatAoKbqF_Yg,chinese
Dqh3sEXivFTVBWwaw0xjRg,pizza
-SM_BQ5jiqvot_kl7RKoaQ,seafood
uboO7T3XSnl8iq0uQWhMXA,italian
JMXYzL0jquNEE9nIuWNzUw,pizza
fjjzAn0j6zCs2SNViuNfwQ,indian
oJjMYhA6z1_BVaQpSdyl8g,chinese
4eAgPj7eKonKAtk64kgUfQ,japanese
rrsjcQVLg2PkIkO_vPjOLw,american
U2aUFZARLeSMf4RQIxjuTw,chinese
xymU2HPO_euz1Ss1AE9Fyw,seafood
98iFRMtrbF2tt20l-WtFEw,dessert
dsTAUtR3bRMFIKJpAJk1Jw,brunch
-Qn5nXGhxWHNePA0dYmPSg,mexican
iOaIwnlMpciZMXjG3wlMSA,seafood
Wdt-exLSaHXQRH7V_7-VVg,american
aTBxCoZDOnqAXPDdQmrxMg,mexican
DE0ROwygh-86i4s-WLp8wQ,brunch
itblJyiTY2h2ACidLk66oA,japanese
vTn3ww550Rnhz9naIxtjww,pizza
fNxI--522GxiStC-J3SnTw,indian
0Tvwk0hvgaY0QVIsZGTZKQ,italian
CI9RYUjDdYS7GXL08tI9Cw,dessert
oe8GEFE4QLFAKt87y7zcgA,thai
nI1UYDCYUTt23TpGxqnLKg,thai
ItL1MPc-ruJagHTkdshW7w,korean
REIcoQFvGB7B6S0GmqHo1A,japanese
NH7Ws65ZwlmOosiblfGTRw,indian
kXuubLd6s3GidpqU3psPdw,thai
8-dc942sz-prIeepAkHLJA,thai
TsYrzVVtkKO4Asrk_L9stw,italian
gbjRqXgG_YJChMrDITWhPA,korean
u5GhSUPNsltzTO5XyD0RXg,dessert
25npnVAlhRjguunYS8zy8w,italian
YmzmZ4BuBj1sBxFE-s2sOQ,italian
NFg9U1diLB75Elx0PdVjuQ,dessert
B-lbpKcK1sVfqGdlmagKag,healthy
OINi1A9bSUUN5vi7xgi3ZQ,japanese
zDujEq9qZk13nBcG2PH4tA,italian
Aprs5McFDpJCKTxWEJMlag,pizza
OfhbwhWzIn6TYYpubLZNsQ,korean
h37t9rA06Sr4EetJjKrfzw,brunch
UC3n_0vZ5zI1fvi7UzNZAg,thai
T4xmuPYBmMhF48bfi9rkfA,thai
np7wKWwTAhetwpXqsWpFkQ,american
pfmAcS-g6SiNG0KlLvrqnA,american
6qzNc9Z9DHYYleKqrW_K3g,korean
ZhbHXqkEYNKLAbamW5peJQ,american
-kb5p62-cHiayThJBVQxfg,pizza
k8GFfCXO2FIIJIo0ICYSRA,seafood
dVE7UAc0vtEk-V4fHfJUFg,dessert
Ko95LRE9AAvb2Lk9Iwh2-Q,mexican
Rk6TXh7nINbzJoGtI2C5cA,indian
bO7oI7V8MYbRxenHQcWOqQ,seafood
EhJO7B2hzHq8NT8iFKoCwg,mexican
6EArjn_iacj-yGVLTKWuEQ,japanese
KJFosOrLotvQo_rntg0sjA,vietnamese
VoAuIReq_cPUrFwxbWqG_Q,thai
IS94JDTcq_WedBcj6P4qpQ,japanese
bjf8vmAIrdPo1aHoaYPkBw,thai
avtl5_yfrg8xjw3ntwQBLw,korean
W45PNquvdkIeedQ9LOLHUQ,seafood
Bk7METp9hGgm409E6EoBhw,italian
vbvtWBbO3Q-Q15w7aHxgVg,dessert
tWSjcyxwBccZkEyhry_aEQ,korean
8qSOz7oTPUUCafsMOBBNEQ,italian
6AC4yhUdnh64zE6b5-n6OQ,seafood
ZCAkVl5SeCDeBWg_xjfYeg,chinese
PbTqcNu_0PLfGJMn31SXPg,korean
ZcsnsOliO2KIH29RazZoIw,vietnamese
ub2VfE7SRLJABAClzGZp3A,mexican
-yR4PHWqpkrPopwv4wrC5g,mexican
BOz0qTUMtAfljd3Vn1rerQ,japanese
XZM8rb2G7iBY16bxSEkC0A,korean
Qgv2vyUV-DwK8YwrhU-jtw,chinese
WbCZW0OBcakQ9oxsLsw8vg,indian
mtcv1ZV9EpXP3mOm6ORMrQ,healthy
kIm0oeOaVfC9-2flLPVklA,italian
NztBFASX-zzg0tROoLiKOg,indian
_nywvJGzmWJEH2FceAvRbQ,korean
_V7YsDQ4Lb41rqfkuPzm1w,italian
UoYzLI3hN-K9I1Tukb5EAA,korean
GR8hIIr8Pg7oY-woPq8HwQ,dessert
aFJLPIyLgRS7m_9-2MK6lg,pizza
1B-lytoWyHLEG95eyM9M_Q,vietnamese
aAjW58zhOUid3kOvwNONDQ,healthy
Glv9_arsYlt682y7MlNfwg,italian
ffJddI2ICrCz6q_QWrU5VQ,pizza
xdioStDO8FAyQiZWHJiGZQ,indian
QaDOWy4-11982JWIxpImNQ,healthy
fcCF0Kh_RCbv6KSVlb-Seg,thai
4cVajR3KnJh7cK9u_TiBAQ,mexican
3vBVnzsJLRh8WtW3awKxeQ,mexican
Y_Fw-5vkI1Ookl5hN00F7A,brunch
AwiDxfV8j7x3_7dtUEkWmQ,thai
a5H9p1B6m6WPVjakPylvdA,thai
mfJaJSspapkcL2MIsNuUjw,mexican
6-ShONYFIM9K8HAUOhZVlw,pizza
6xaL2MvIgzkC67h8yu1-rw,dessert
FG3toTBOTyfVTePW5RuWSw,seafood
KIERtmoOTz7r103MWw08nA,thai
ULQMK7QcBtKf6V8_ut8q6A,seafood
Ug2_5DOrlfaU1Pce5Lvikw,seafood
6-0Et7i2R2nKTpPpevYo1Q,korean
s3jou_L_LVYGkNHiuhjlew,seafood
4FD0TAxe70nb3ngk3sXF9Q,dessert
_QxcsvPsYnOgPhiK6gzCfg,japanese
PjAunvZK9Y3Bbk5ppMu0Mw,brunch
A46G2OAvLxFswiONB50Rrg,pizza
fuS39acPaRi38DhSSwEI4Q,american
ahKL-52Ogn7iPFjhQbbb3w,indian
3yr114KyiL7hA3SZreVxgQ,seafood
wZkZmjZEJDraLJgAalnHvA,american
w6zpYm2mfk6F-wYWlYEtmA,chinese
veku2cg2qaV-7MxwhOMBmg,american
GhvnFLjgQ94MDXJgbv3opA,vietnamese
VfbHFAGWxShIXLCy7Zw02A,indian
1xxx4X6harPvGMcPmS15BA,japanese
__EvomQ2tE1NtkWn32WEXg,american
WSesw7dMYKmF3XHqD0K0WQ,indian
z28cRtpdfiJfzIp1vkMAwQ,korean
wdGMVLUzocmnl2tST0lheg,korean
hXqrA_Z3jZ8Q1O6ZehWSwQ,indian
9GEPKXerLoWIKefSvfnurw,korean
EAkIy8TKrW4yPPDCZyP-Cw,thai
JYoCTZrJ0VRTmQFYUz_bSg,mexican
herb-gOpfjJGeiYWXb2liw,mexican
mhrLDFTxUzW2koRAzjlt5g,mexican
6xCZHAr7yj_vWwRJalAEOg,healthy
CqvbXj6siqnBKaTjqNWwuw,chinese
